
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
          0        0.2     81.072     12.199    0.98898
     416.67        0.2     79.132     12.085    0.95633
     833.33        0.2     76.938     12.015    0.92444
       1250        0.2     74.592     11.976    0.89328
     1666.7        0.2     72.153     11.951    0.86226
     2083.3        0.2     69.659     11.929    0.83094
       2500        0.2     67.146     11.919     0.8003
     2916.7        0.2     64.632     11.919    0.77035
     3333.3        0.2     62.135     11.927     0.7411
       3750        0.2     59.672     11.941    0.71254
     4166.7        0.2     57.248      11.96    0.68469
     4583.3        0.2     54.863     11.985    0.65752
       5000        0.2     52.523     12.015    0.63104
     5416.7        0.2     50.231     12.049    0.60526
     5833.3        0.2     47.992     12.089    0.58017
       6250        0.2     45.807     12.132    0.55576
     6666.7        0.2     43.681     12.182    0.53211
     7083.3        0.2     41.613     12.235    0.50914
       7500        0.2     39.606     12.292    0.48683
     7916.7        0.2      37.66     12.352    0.46518
     8333.3        0.2     35.777     12.415    0.44418
       8750        0.2     33.956     12.482    0.42383
     9166.7        0.2     32.199     12.551    0.40413
     9583.3        0.2     30.505     12.623    0.38505
      10000        0.2     28.872     12.697     0.3666
      10417        0.2     27.302     12.774    0.34876
      10833        0.2     25.793     12.854    0.33154
      11250        0.2      24.23     12.888    0.31227
      11667        0.2     22.686      12.89    0.29242
      12083        0.2     21.239     12.893    0.27383
      12500        0.2     19.885     12.895    0.25643
      12917        0.2     18.617     12.898    0.24012
      13333        0.2     17.429     12.901    0.22486
      13750        0.2     16.317     12.905    0.21057
      14167        0.2     15.276     12.908    0.19719
      14583        0.2     14.301     12.912    0.18466
      15000        0.2     13.388     12.916    0.17292
      15417        0.2     12.533     12.921    0.16193
      15833        0.2     11.732     12.925    0.15164
      16250        0.2     10.982      12.93    0.14201
      16667        0.2      10.28     12.936    0.13298
      17083        0.2     9.6229     12.941    0.12453
      17500        0.2     9.0072     12.947    0.11662
      17917        0.2     8.4307     12.953    0.10921
      18333        0.2     7.8908      12.96    0.10227
      18750        0.2     7.3853     12.967   0.095767
      19167        0.2     6.9119     12.975   0.089681
      19583        0.2     6.4685     12.983   0.083982
      20000        0.2     6.0534     12.992   0.078645
          0    0.21458     80.159     12.364    0.99111
     416.67    0.21458     78.288     12.242     0.9584
     833.33    0.21458     76.153     12.165    0.92644
       1250    0.21458     73.861      12.12    0.89522
     1666.7    0.21458      71.47     12.094    0.86434
     2083.3    0.21458      69.02     12.068    0.83295
       2500    0.21458     66.546     12.056    0.80226
     2916.7    0.21458      64.07     12.053    0.77226
     3333.3    0.21458     61.608     12.059    0.74295
       3750    0.21458     59.176     12.071    0.71434
     4166.7    0.21458     56.783     12.089    0.68642
     4583.3    0.21458     54.428     12.112     0.6592
       5000    0.21458     52.114      12.14    0.63267
     5416.7    0.21458     49.848     12.174    0.60684
     5833.3    0.21458     47.633     12.212    0.58169
